"Designator","MPN","Quantity Per PCB","Link"
"C101","","1","https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525"
"D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113","","13",""
"D114","","1","https://jlcpcb.com/partdetail/onsemi-MRA4004T3G/C40324"
"D201","","1",""
"FB201","","1",""
"J201","","1",""
"P8,P9","","2",""
"R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117","","17",""
"SW102","","1",""
"SW101","","1",""
"U103","","1",""
"U202","","1",""
"U101","","1",""
"U201","","1",""
