"Comment","Designator","Footprint","LCSC Part #"
"100n","C101,C102","C_0402_1005Metric","C1525"
"1N5819WS","D115","D_SOD-323","C191023"
"LED","D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113","LED_0603_1608Metric","C2286"
"MRA4004T3G","D114","D_SMA","C40324"
"SK6812MINI","D201","LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm","C2922787"
"FerriteBead_Small","FB201","L_0402_1005Metric","C14709"
"USB_B_Micro","J201","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal","C428495"
"15","R118","R_0805_2012Metric","C17480"
"1k","R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117","R_0402_1005Metric","C11702"
"AT24C512C-SSHD-T","U103","SOIC-8_3.9x4.9mm_P1.27mm","C6482"
"ATECC608A-MAHDA","U104","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","C17561150"
"DS3231MZ","U105","SOIC-8_3.9x4.9mm_P1.27mm","C107410"
"ESP32-S3-WROOM-1","U202","ESP32-S3-WROOM-1U","C3013946"
"SP3485EN","U101","SOIC-8_3.9x4.9mm_P1.27mm","C8963"
"USBLC6-2SC6","U201","SOT-23-6","C2687116"
